trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2977,False,"{'a': 0.999, 'e': 0.500071596716019}",30,14,-108.47480043732298,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
2978,False,"{'a': 0.999, 'e': 0.5000707410199423}",20,0,-55.79976820629061,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2979,False,"{'a': 0.999, 'e': 0.5000698895902137}",20,9,-10.114484020275029,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
2980,False,"{'a': 0.999, 'e': 0.5000690424055695}",30,0,-4.23172869987808,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
2981,False,"{'a': 0.999, 'e': 0.5000681994448513}",20,0,-116.10482240001332,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2982,False,"{'a': 0.999, 'e': 0.5000673606870065}",30,4,-45.829885602788394,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 0}",1
2983,False,"{'a': 0.999, 'e': 0.5000665261110873}",25,0,3.3426367803255794,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
2984,False,"{'a': 0.999, 'e': 0.5000656956962499}",35,9,11.738734002162746,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
2985,False,"{'a': 0.999, 'e': 0.5000648694217549}",20,12,-6.1386173517361495,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
2986,False,"{'a': 0.999, 'e': 0.5000640472669655}",25,15,0.5425994108659595,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
2987,False,"{'a': 0.999, 'e': 0.5000632292113485}",25,3,-150.54960709165837,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 3}",1
2988,False,"{'a': 0.999, 'e': 0.5000624152344721}",30,0,-80.02460136851589,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2989,False,"{'a': 0.999, 'e': 0.500061605316007}",20,0,-52.59370761805577,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
2990,False,"{'a': 0.999, 'e': 0.5000607994357247}",25,8,-6.670007508280707,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
2991,False,"{'a': 0.999, 'e': 0.5000599975734978}",20,0,-42.97385217661426,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2992,False,"{'a': 0.999, 'e': 0.500059199709299}",25,17,-4.249747562261979,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
2993,False,"{'a': 0.999, 'e': 0.5000584058232006}",20,0,-26.727820319608398,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2994,False,"{'a': 0.999, 'e': 0.5000576158953745}",20,6,10.613757943083534,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2995,False,"{'a': 0.999, 'e': 0.5000568299060909}",25,11,-69.12205522336636,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
2996,False,"{'a': 0.999, 'e': 0.5000560478357188}",25,6,6.562947816124433,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
2997,False,"{'a': 0.999, 'e': 0.5000552696647247}",30,6,-24.857841653778863,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
2998,False,"{'a': 0.999, 'e': 0.5000544953736725}",25,0,-133.22588643077495,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
2999,False,"{'a': 0.999, 'e': 0.5000537249432226}",30,16,0.22206541993596018,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
3000,False,"{'a': 0.999, 'e': 0.5000529583541324}",20,0,-92.19655507864223,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3001,False,"{'a': 0.999, 'e': 0.5000521955872546}",25,11,-9.978018641279117,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
3002,False,"{'a': 0.999, 'e': 0.5000514366235373}",20,4,-35.09446185790782,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
3003,False,"{'a': 0.999, 'e': 0.5000506814440238}",20,0,-112.27012339678174,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3004,False,"{'a': 0.999, 'e': 0.5000499300298518}",25,9,-22.101354263250148,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
3005,False,"{'a': 0.999, 'e': 0.5000491823622524}",20,1,-72.50067264125069,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
3006,False,"{'a': 0.999, 'e': 0.5000484384225512}",25,0,18.87265885140288,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3007,False,"{'a': 0.999, 'e': 0.5000476981921658}",25,13,-3.7219139564192827,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
3008,False,"{'a': 0.999, 'e': 0.5000469616526071}",25,15,-11.136906730396266,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
3009,False,"{'a': 0.999, 'e': 0.5000462287854779}",25,17,0.2026349938792189,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3010,False,"{'a': 0.999, 'e': 0.5000454995724724}",20,0,-23.535095357484852,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3011,False,"{'a': 0.999, 'e': 0.5000447739953763}",35,14,-20.826472446323937,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
3012,False,"{'a': 0.999, 'e': 0.5000440520360658}",30,18,-22.595067847907764,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
3013,False,"{'a': 0.999, 'e': 0.5000433336765078}",20,9,2.69428926774446,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
3014,False,"{'a': 0.999, 'e': 0.5000426188987586}",25,0,-38.91807570170562,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
3015,False,"{'a': 0.999, 'e': 0.5000419076849638}",30,15,25.991656314431005,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3016,False,"{'a': 0.999, 'e': 0.5000412000173586}",20,9,5.140256465663986,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
