TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
01,2017-11-24,78,BBASA13,070,BBAS    /EJ,ON      NM,000,R$,1.48,1.48,1.48,1.48,1.48,0.00,2.66,00004,000000000000003000,4440.00,33.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA17,070,BBAS    /EJ,ON      NM,000,R$,0.39,0.39,0.39,0.39,0.39,0.30,0.00,00001,000000000000001000,390.00,37.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA18,070,BBAS    /EJ,ON      NM,000,R$,0.29,0.29,0.29,0.29,0.29,0.00,0.00,00001,000000000000003000,870.00,38.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA2,070,BBASE    /EJ,ON      NM,000,R$,0.55,0.55,0.53,0.54,0.53,0.53,2.14,00005,000000000000001000,548.00,36.13,0,2018-01-15,0000001,0.00,BRBBASACNOR3,270
01,2017-11-24,78,BBASA33,070,BBAS  FM/EJ,ON      NM,000,R$,1.66,1.72,1.60,1.69,1.70,0.00,0.00,00011,000000000000516100,874888.00,32.88,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA34,070,BBAS    /EJ,ON      NM,000,R$,1.25,1.26,1.07,1.23,1.26,0.00,0.00,00007,000000000000345100,424896.00,33.88,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA37,070,BBAS    /EJ,ON      NM,000,R$,0.46,0.46,0.46,0.46,0.46,0.00,0.00,00003,000000000000001200,552.00,36.88,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA38,070,BBAS    /EJ,ON      NM,000,R$,0.36,0.36,0.36,0.36,0.36,0.00,0.00,00023,000000000000002300,828.00,37.88,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA5,070,BBAS  FM/EJ,ON      NM,000,R$,0.75,0.84,0.75,0.75,0.84,0.61,1.98,00068,000000000000063300,47683.00,35.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA6,070,BBAS    /EJ,ON      NM,000,R$,0.49,0.62,0.48,0.54,0.60,0.59,0.60,01470,000000000001182800,642940.00,36.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA75,070,BBASE    /EJ,ON      NM,000,R$,0.80,0.80,0.80,0.80,0.80,0.00,0.00,00001,000000000000000300,240.00,35.13,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA92,070,BBAS  FM/EJ,ON      NM,000,R$,2.16,2.26,2.04,2.15,2.25,0.00,0.00,00046,000000000000077500,167316.00,31.88,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
01,2017-11-24,78,BBASA94,070,BBASE    /EJ,ON      NM,000,R$,1.07,1.07,0.84,0.93,0.84,0.04,1.47,00002,000000000000002400,2246.00,34.13,0,2018-01-15,0000001,0.00,BRBBASACNOR3,265
