PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
PNVL3,DIMED,ON,Health,Retail and Distribution,Pharmaceutical and Others Products
POMO3,MARCOPOLO,ON,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
POMO4,MARCOPOLO,PN,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
POSI3,POSITIVO TEC,ON,Information Technology,Hardware and Equipments,Hardware and Equipments
PRIO3,PETRORIO,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
PRML3,PRUMO,ON,Capital Goods and Services,Transportation,Warehousing and Storage
PSSA3,PORTO SEGURO,ON,Financial,"Insurance, Life and Multi-line",Insurance
PTBL3,PORTOBELLO,ON,Capital Goods and Services,Construction and Engineering,Building Products   
PTNT4,PETTENATI,PN,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
QGEP3,QGEP PART,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
QUAL3,QUALICORP,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
RADL3,RAIADROGASIL,ON,Health,Retail and Distribution,Pharmaceutical and Others Products
RAIL3,RUMO S.A.,ON,Capital Goods and Services,Transportation,Railroads
RANI3,CELUL IRANI,ON,Basic Materials,Wood and Paper,Pulp and Paper
RANI4,CELUL IRANI,PN,Basic Materials,Wood and Paper,Pulp and Paper
RAPT3,RANDON PART,ON,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
RAPT4,RANDON PART,PN,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
RCSL3,RECRUSUL,ON,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
RCSL4,RECRUSUL,PN,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
RDNI3,RODOBENSIMOB,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
REDE3,REDE ENERGIA,ON,Utilities,Electric Utilities,Electric Utilities
RENT3,LOCALIZA,ON,Consumer Cyclical,Diversified,Car Rental
RLOG3,COSAN LOG,ON,Capital Goods and Services,Transportation,Railroads
RNEW3,RENOVA,ON,Utilities,Electric Utilities,Electric Utilities
RNEW4,RENOVA,PN,Utilities,Electric Utilities,Electric Utilities
ROMI3,INDS ROMI,ON,Capital Goods and Services,Machines and Equipments,Machines and Industrial Equipments
RPAD6,ALFA HOLDING,PN,Financial,Financial Intermediaries,Banks
RSID3,ROSSI RESID,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
SANB3,SANTANDER BR,ON,Financial,Financial Intermediaries,Banks
SANB4,SANTANDER BR,PN,Financial,Financial Intermediaries,Banks
SAPR3,SANEPAR,ON,Utilities,Water Utilities,Water Utilities
SAPR4,SANEPAR,PN,Utilities,Water Utilities,Water Utilities
SBSP3,SABESP,ON,Utilities,Water Utilities,Water Utilities
SCAR3,SAO CARLOS,ON,Financial,Real Estate,Real Estate
SEDU3,SOMOS EDUCA,ON,Consumer Cyclical,Diversified,Educational Services
SEER3,SER EDUCA,ON,Consumer Cyclical,Diversified,Educational Services
SGPS3,SPRINGS,ON,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
SHOW3,TIME FOR FUN,ON,Consumer Cyclical,"Travel, Entertainment and Leisure",Entertainment
SHUL4,SCHULZ,PN,Capital Goods and Services,Machines and Equipments,"Motors, Compressors and Others"
SLCE3,SLC AGRICOLA,ON,Consumer Non Cyclical,Farming,Agriculture
SLED3,SARAIVA LIVR,ON,Consumer Cyclical,Retail,Diversified Retailers
SLED4,SARAIVA LIVR,PN,Consumer Cyclical,Retail,Diversified Retailers
SMLS3,SMILES,ON,Consumer Cyclical,Diversified,Loyalty Programs
SMTO3,SAO MARTINHO,ON,Consumer Non Cyclical,Food Processors,Sugar and Alcohol
SNSL3,SENIOR SOL,ON,Information Technology,Software and Services,Software and Services
SPRI3,SPRINGER,ON,Financial,Holdings - Diversified,Holdings - Diversified
SSBR3,SIERRABRASIL,ON,Financial,Real Estate,Real Estate
STBP3,SANTOS BRP,ON,Capital Goods and Services,Transportation,Warehousing and Storage
SUZB3,SUZANO PAPEL,ON,Basic Materials,Wood and Paper,Pulp and Paper
TAEE3,TAESA,ON,Utilities,Electric Utilities,Electric Utilities
TAEE4,TAESA,PN,Utilities,Electric Utilities,Electric Utilities
TCSA3,TECNISA,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
TECN3,TECHNOS,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Accessories
TELB3,TELEBRAS,ON,Telecommunications,Telecommunications,Telecommunications
TELB4,TELEBRAS,PN,Telecommunications,Telecommunications,Telecommunications
TEND3,TENDA,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
TESA3,TERRA SANTA,ON,Consumer Non Cyclical,Farming,Agriculture
TGMA3,TEGMA,ON,Capital Goods and Services,Transportation,Trucking
TIET3,AES TIETE E,ON,Utilities,Electric Utilities,Electric Utilities
TIET4,AES TIETE E,PN,Utilities,Electric Utilities,Electric Utilities
TIMP3,TIM PART S/A,ON,Telecommunications,Telecommunications,Telecommunications
TOTS3,TOTVS,ON,Information Technology,Software and Services,Software and Services
TOYB3,TECTOY,ON,Consumer Cyclical,"Travel, Entertainment and Leisure",Toys and Games
TOYB4,TECTOY,PN,Consumer Cyclical,"Travel, Entertainment and Leisure",Toys and Games
TRIS3,TRISUL,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
TRPL4,TRAN PAULIST,PN,Utilities,Electric Utilities,Electric Utilities
TRPN3,TARPON INV,ON,Financial,Diversified Financial Services,Asset Management and Investments
TUPY3,TUPY,ON,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
TXRX4,TEX RENAUX,PN,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
UCAS3,UNICASA,ON,Consumer Cyclical,Household Products,Home Furnishing
UGPA3,ULTRAPAR,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
